,loss,accuracy,val_loss,val_accuracy
0,1.8794608116149902,0.30037999153137207,1.5502007007598877,0.4244000017642975
1,1.6504840850830078,0.3981199860572815,1.4837031364440918,0.4668999910354614
2,1.5478899478912354,0.44012001156806946,1.354865550994873,0.5073000192642212
3,1.476535439491272,0.46786001324653625,1.2619725465774536,0.5533999800682068
4,1.408861517906189,0.4940199851989746,1.1583908796310425,0.5878999829292297
5,1.3583590984344482,0.5143200159072876,1.1086664199829102,0.6055999994277954
6,1.324950098991394,0.5275200009346008,1.0802967548370361,0.6180999875068665
7,1.2892801761627197,0.5394799709320068,1.114839792251587,0.5952000021934509
8,1.2554330825805664,0.5529599785804749,0.980182409286499,0.6603999733924866
9,1.2260286808013916,0.5630000233650208,0.9780987501144409,0.6539999842643738
10,1.2035350799560547,0.573639988899231,0.9801242351531982,0.6496000289916992
11,1.1811294555664062,0.5805000066757202,0.9390888810157776,0.6662999987602234
12,1.157958984375,0.5910000205039978,0.9632106423377991,0.6672999858856201
13,1.1367472410202026,0.5988399982452393,0.9008874297142029,0.6819999814033508
14,1.1233437061309814,0.604200005531311,0.9195112586021423,0.6723999977111816
15,1.1020220518112183,0.6103799939155579,0.8475103378295898,0.7049999833106995
16,1.0900168418884277,0.6164399981498718,0.9037714004516602,0.6825000047683716
17,1.0665414333343506,0.6244199872016907,0.8074942231178284,0.7185999751091003
18,1.0621570348739624,0.6272600293159485,0.8543617129325867,0.7089999914169312
19,1.0400846004486084,0.6366599798202515,0.8137699961662292,0.714900016784668
20,1.0394599437713623,0.6337000131607056,0.7798148989677429,0.7297000288963318
21,1.022635579109192,0.6413400173187256,0.813398003578186,0.715399980545044
22,1.0207502841949463,0.6428599953651428,0.7523691654205322,0.7387999892234802
23,0.9995272755622864,0.6487600207328796,0.8139275312423706,0.7217000126838684
24,0.9866926670074463,0.6552000045776367,0.7843955159187317,0.7300999760627747
25,0.978692889213562,0.6575999855995178,0.7351688742637634,0.7423999905586243
26,0.9745309948921204,0.6576600074768066,0.7604516744613647,0.745199978351593
27,0.9573136568069458,0.6635599732398987,0.7363245487213135,0.7490000128746033
28,0.9465128183364868,0.6690999865531921,0.7439271211624146,0.7426999807357788
29,0.9414889216423035,0.6699600219726562,0.7206246256828308,0.7573999762535095
30,0.9425161480903625,0.6709399819374084,0.7372698783874512,0.7529000043869019
31,0.9259313344955444,0.6754800081253052,0.6814481616020203,0.7656999826431274
32,0.9178078174591064,0.6790000200271606,0.6923202276229858,0.7620000243186951
33,0.9152231812477112,0.6808800101280212,0.6890975832939148,0.7592999935150146
34,0.9079983830451965,0.6848400235176086,0.6893863081932068,0.763700008392334
35,0.9064632654190063,0.6836199760437012,0.6984636783599854,0.7615000009536743
36,0.8957247138023376,0.6879600286483765,0.768355667591095,0.7419000267982483
37,0.8960831165313721,0.688260018825531,0.6849390864372253,0.7645999789237976
38,0.8831971287727356,0.6929000020027161,0.6944313645362854,0.7649999856948853
39,0.876953661441803,0.6952400207519531,0.6927024126052856,0.7656999826431274
