,loss,accuracy,val_loss,val_accuracy
0,1.5914478302001953,0.41468000411987305,1.312746524810791,0.5338000059127808
1,1.2639038562774658,0.5454800128936768,1.1625694036483765,0.5855000019073486
2,1.1176047325134277,0.6025599837303162,1.012291669845581,0.6485999822616577
3,1.0212109088897705,0.6384000182151794,0.9546226859092712,0.6632000207901001
4,0.9453672766685486,0.666379988193512,0.8799100518226624,0.6944000124931335
5,0.8832758665084839,0.6902999877929688,0.8469271659851074,0.6998999714851379
6,0.8333753943443298,0.7074599862098694,0.7763762474060059,0.725600004196167
7,0.7899565100669861,0.722000002861023,0.7791997790336609,0.7307999730110168
8,0.748999834060669,0.7369400262832642,0.758645236492157,0.7336999773979187
9,0.7167075872421265,0.749779999256134,0.7044510245323181,0.7560999989509583
10,0.6864279508590698,0.7616599798202515,0.7022852301597595,0.7523000240325928
11,0.6564881801605225,0.7706599831581116,0.7290328145027161,0.753600001335144
12,0.6285646557807922,0.7806800007820129,0.6495393514633179,0.775600016117096
13,0.6104612350463867,0.7864199876785278,0.6468539237976074,0.7796000242233276
14,0.5912657976150513,0.7928400039672852,0.6132323145866394,0.7907000184059143
15,0.5711030960083008,0.8008800148963928,0.6115427613258362,0.7897999882698059
16,0.5557151436805725,0.8058199882507324,0.6006473898887634,0.795799970626831
17,0.5393426418304443,0.8101599812507629,0.6083664298057556,0.7912999987602234
18,0.525995671749115,0.8146799802780151,0.5824632048606873,0.8009999990463257
19,0.5080065727233887,0.8212000131607056,0.5659143328666687,0.8037999868392944
20,0.49493783712387085,0.827019989490509,0.5793483853340149,0.8015999794006348
21,0.4754100739955902,0.8313199877738953,0.5637503862380981,0.8076000213623047
22,0.46251997351646423,0.8372600078582764,0.5885421633720398,0.7962999939918518
23,0.4524867832660675,0.8392199873924255,0.565151572227478,0.8077999949455261
24,0.43837448954582214,0.8453199863433838,0.5638906955718994,0.8039000034332275
25,0.4285931885242462,0.8478999733924866,0.5513882040977478,0.8134999871253967
26,0.4183140993118286,0.8527399897575378,0.5549173355102539,0.8098999857902527
27,0.4106571078300476,0.8555399775505066,0.5404878854751587,0.8151000142097473
28,0.3936355412006378,0.8613600134849548,0.5388147234916687,0.8163999915122986
29,0.3865729570388794,0.8628000020980835,0.5484420657157898,0.8184999823570251
30,0.3781431317329407,0.8664600253105164,0.5441980957984924,0.8145999908447266
31,0.3707006275653839,0.8699600100517273,0.5587222576141357,0.8118000030517578
32,0.3615610897541046,0.8714799880981445,0.5511162877082825,0.8184000253677368
33,0.3523055613040924,0.873960018157959,0.5434738397598267,0.8205000162124634
34,0.34659385681152344,0.8783800005912781,0.5417146682739258,0.8184000253677368
35,0.3383164703845978,0.8795999884605408,0.5374423861503601,0.8223999738693237
36,0.3274346590042114,0.8832600116729736,0.5476760864257812,0.8166999816894531
37,0.32193616032600403,0.8840399980545044,0.5475788712501526,0.8184999823570251
38,0.3169845640659332,0.8871200084686279,0.5632885694503784,0.8125
39,0.3052041232585907,0.8915799856185913,0.5553414821624756,0.8198000192642212
