,loss,categorical_accuracy,val_loss,val_categorical_accuracy,times
0,2.676525592803955,0.368233323097229,2.119203567504883,0.4771000146865845,58.16582918167114
1,1.7254048585891724,0.5611888766288757,1.9056488275527954,0.5273000001907349,57.25057649612427
2,1.2922465801239014,0.6564777493476868,1.8568652868270874,0.5360000133514404,57.21172785758972
3,0.948283851146698,0.737766683101654,1.8272485733032227,0.5568000078201294,57.26944589614868
4,0.672061562538147,0.8051999807357788,2.005631446838379,0.5526999831199646,57.17652726173401
5,0.4642769992351532,0.8625333309173584,2.2283389568328857,0.5392000079154968,57.09313178062439
6,0.3518538475036621,0.8932222127914429,2.311182737350464,0.5404999852180481,57.12219452857971
7,0.2639736235141754,0.9195444583892822,2.587616205215454,0.5446000099182129,57.14601373672485
8,total for epochs,0.0,0.0,0.0,458.4354467391968
9,time_elapsed,0.0,0.0,0.0,3.076738119125366
10,time_elapsed/image,0.0,0.0,0.0,0.3076738119125366
11,test accuracy,0.0,0.0,0.0,0.47450000047683716
