,loss,categorical_accuracy,val_loss,val_categorical_accuracy,times
0,5.093177795410156,0.0142222223803401,4.913065433502197,0.025499999523162842,58.36249303817749
1,4.59454870223999,0.0502999983727932,4.348939895629883,0.07410000264644623,57.37915325164795
2,4.133110046386719,0.09808889031410217,3.9440219402313232,0.12520000338554382,57.39341449737549
3,3.8144545555114746,0.1415555626153946,3.7264952659606934,0.1598999947309494,57.383408308029175
4,3.5432534217834473,0.18729999661445618,3.5029993057250977,0.1923000067472458,57.378257036209106
5,3.3085336685180664,0.2278222292661667,3.364752769470215,0.22089999914169312,57.33333230018616
6,3.076547622680664,0.2681777775287628,3.3868424892425537,0.22050000727176666,57.19926333427429
7,2.8812272548675537,0.30382221937179565,3.1237361431121826,0.2696000039577484,57.335120677948
8,2.6720292568206787,0.34345555305480957,3.1123769283294678,0.2824999988079071,57.336241483688354
9,2.469467878341675,0.384977787733078,3.108398914337158,0.2833000123500824,57.30579209327698
10,2.2537460327148438,0.42735555768013,3.053419351577759,0.2996000051498413,57.291128635406494
11,2.032837152481079,0.47218888998031616,3.1690332889556885,0.3070000112056732,57.32062125205994
12,1.7844315767288208,0.5243555307388306,3.2501378059387207,0.30469998717308044,57.25494718551636
13,1.5409505367279053,0.5794222354888916,3.5282750129699707,0.2962000072002411,57.27424216270447
14,1.2835705280303955,0.6421111226081848,3.772784471511841,0.29580000042915344,57.22980093955994
15,1.0573171377182007,0.6983333230018616,4.084810256958008,0.2842000126838684,57.303961753845215
16,total for epochs,0.0,0.0,0.0,918.0811779499054
17,time_elapsed,0.0,0.0,0.0,3.4165749549865723
18,time_elapsed/image,0.0,0.0,0.0,0.3416574954986572
19,test accuracy,0.0,0.0,0.0,0.2994999885559082
