,loss,categorical_accuracy,val_loss,val_categorical_accuracy,times
0,2.8165066242218018,0.35508888959884644,2.345238208770752,0.42820000648498535,22.613219022750854
1,2.0135464668273926,0.49906668066978455,2.2242610454559326,0.4578000009059906,21.78719663619995
2,1.6642040014266968,0.577477753162384,2.171285629272461,0.46970000863075256,21.82999587059021
3,1.3588873147964478,0.6508333086967468,2.165010690689087,0.4715000092983246,21.785298347473145
4,1.0749905109405518,0.7235888838768005,2.220970392227173,0.4733999967575073,21.814789533615112
5,0.8128744959831238,0.795711100101471,2.2984862327575684,0.4681999981403351,21.695224285125732
6,0.5843007564544678,0.8586111068725586,2.3765950202941895,0.46700000762939453,21.682962894439697
7,0.39861926436424255,0.9117333292961121,2.511671304702759,0.46209999918937683,21.677739143371582
8,0.2700634300708771,0.9453333616256714,2.5956099033355713,0.4668000042438507,21.739655256271362
9,total for epochs,0.0,0.0,0.0,196.62608098983765
10,time_elapsed,0.0,0.0,0.0,3.1203081607818604
11,time_elapsed/image,0.0,0.0,0.0,0.31203081607818606
12,test accuracy,0.0,0.0,0.0,0.47450000047683716
